dataset,n_samples,gene,found,KM_p,KM_significant,HR,HR_CI_low,HR_CI_high,Cox_p
GSE31210,246,BIRC5,True,0.0016643829575741754,True,1.191669866389317,0.9364644895306538,1.5164238327628001,0.1538375888161339
GSE31210,246,CCNB1,True,7.299139911525675e-05,True,1.2638517066589146,1.003325295817923,1.5920271751172137,0.04679506944170357
GSE31210,246,CCNB2,True,9.686913461547604e-05,True,1.3254104815531236,1.0863503105493009,1.6170777764334792,0.005501244201523347
GSE31210,246,CDC20,True,0.00011854391225911209,True,1.2479683693049826,1.0011361031870745,1.5556576631566281,0.048831243516063334
GSE31210,246,KIF2C,True,0.0003219211228313022,True,1.3784167741420004,1.0826249056377852,1.7550241023844821,0.009210520772832097
GSE72094,442,BIRC5,False,,False,,,,
GSE72094,442,CCNB1,False,,False,,,,
GSE72094,442,CCNB2,False,,False,,,,
GSE72094,442,CDC20,False,,False,,,,
GSE72094,442,KIF2C,False,,False,,,,
GSE68465,462,BIRC5,True,0.00035906881305812434,True,1.4810636185634738,1.2898634567332596,1.7006059290862994,2.5592630258383868e-08
GSE68465,462,CCNB1,True,5.074819959729375e-07,True,1.3815031641132947,1.194190807232215,1.5981960176686572,1.3786840909221133e-05
GSE68465,462,CCNB2,True,1.5713655052151718e-06,True,1.5612137054937167,1.3250012576477295,1.8395365439490297,1.0257166119401568e-07
GSE68465,462,CDC20,True,7.497804505342165e-06,True,1.3691636093665769,1.1896037660839258,1.5758263740075111,1.1836435250234478e-05
GSE68465,462,KIF2C,True,4.782024466935205e-05,True,1.367867807556846,1.1727633484273647,1.5954304348438269,6.617776560437684e-05
